val,node,T0,T1,T2,T3,T4,T5
193,TcpNode2,1617741274937,1617741274937,1617741274940,1617741274942,1617741274944,1617741274944
194,TcpNode0,1617741274952,1617741274952,1617741274956,1617741274964,1617741274966,1617741274966
195,TcpNode2,1617741274962,1617741274962,1617741274965,1617741274967,1617741274969,1617741274969
196,TcpNode0,1617741274972,1617741274972,1617741274977,1617741274981,1617741274983,1617741274983
197,TcpNode0,1617741274994,1617741274994,1617741274998,1617741275003,1617741275005,1617741275005
198,TcpNode2,1617741275004,1617741275004,1617741275008,1617741275009,1617741275010,1617741275011
199,TcpNode0,1617741275020,1617741275020,1617741275023,1617741275025,1617741275027,1617741275027
200,TcpNode2,1617741275030,1617741275030,1617741275034,1617741275035,1617741275037,1617741275037
201,TcpNode0,1617741275046,1617741275046,1617741275050,1617741275054,1617741275056,1617741275056
202,TcpNode2,1617741275056,1617741275056,1617741275060,1617741275062,1617741275063,1617741275064
203,TcpNode0,1617741275072,1617741275072,1617741275074,1617741275082,1617741275085,1617741275086
204,TcpNode2,1617741275082,1617741275082,1617741275085,1617741275086,1617741275091,1617741275092
205,TcpNode0,1617741275092,1617741275092,1617741275096,1617741275100,1617741275105,1617741275106
206,TcpNode2,1617741275106,1617741275106,1617741275110,1617741275112,1617741275116,1617741275116
207,TcpNode0,1617741275116,1617741275116,1617741275120,1617741275121,1617741275123,1617741275123
208,TcpNode0,1617741275131,1617741275131,1617741275134,1617741275137,1617741275139,1617741275139
209,TcpNode2,1617741275141,1617741275141,1617741275144,1617741275146,1617741275148,1617741275148
210,TcpNode0,1617741275160,1617741275160,1617741275164,1617741275169,1617741275170,1617741275171
211,TcpNode2,1617741275170,1617741275170,1617741275174,1617741275182,1617741275184,1617741275184
212,TcpNode0,1617741275184,1617741275184,1617741275188,1617741275189,1617741275191,1617741275191
213,TcpNode0,1617741275200,1617741275200,1617741275204,1617741275206,1617741275207,1617741275208
214,TcpNode2,1617741275210,1617741275210,1617741275213,1617741275215,1617741275217,1617741275217
215,TcpNode0,1617741275225,1617741275225,1617741275229,1617741275230,1617741275231,1617741275232
216,TcpNode2,1617741275235,1617741275235,1617741275238,1617741275242,1617741275244,1617741275244
218,TcpNode2,1617741275255,1617741275255,1617741275258,1617741275260,1617741275262,1617741275262
217,TcpNode0,1617741275245,1617741275245,1617741275249,1617741275262,1617741275264,1617741275264
219,TcpNode0,1617741275265,1617741275265,1617741275267,1617741275269,1617741275271,1617741275271
220,TcpNode0,1617741275285,1617741275285,1617741275288,1617741275289,1617741275291,1617741275292
221,TcpNode2,1617741275295,1617741275295,1617741275299,1617741275301,1617741275302,1617741275303
222,TcpNode0,1617741275310,1617741275310,1617741275313,1617741275315,1617741275316,1617741275317
223,TcpNode2,1617741275320,1617741275320,1617741275323,1617741275325,1617741275326,1617741275327
225,TcpNode2,1617741275344,1617741275344,1617741275347,1617741275349,1617741275351,1617741275351
224,TcpNode0,1617741275334,1617741275334,1617741275339,1617741275357,1617741275360,1617741275362
226,TcpNode0,1617741275354,1617741275354,1617741275360,1617741275362,1617741275364,1617741275364
227,TcpNode0,1617741275376,1617741275377,1617741275380,1617741275381,1617741275383,1617741275383
228,TcpNode2,1617741275386,1617741275386,1617741275389,1617741275391,1617741275393,1617741275393
229,TcpNode0,1617741275400,1617741275400,1617741275404,1617741275406,1617741275407,1617741275408
230,TcpNode2,1617741275410,1617741275410,1617741275414,1617741275416,1617741275419,1617741275420
231,TcpNode0,1617741275420,1617741275420,1617741275423,1617741275425,1617741275426,1617741275427
232,TcpNode0,1617741275434,1617741275434,1617741275438,1617741275440,1617741275442,1617741275442
233,TcpNode2,1617741275444,1617741275444,1617741275447,1617741275449,1617741275450,1617741275451
234,TcpNode0,1617741275459,1617741275459,1617741275463,1617741275465,1617741275470,1617741275470
235,TcpNode2,1617741275469,1617741275469,1617741275473,1617741275477,1617741275478,1617741275478
236,TcpNode0,1617741275479,1617741275479,1617741275482,1617741275484,1617741275485,1617741275486
237,TcpNode0,1617741275494,1617741275494,1617741275497,1617741275503,1617741275505,1617741275505
238,TcpNode2,1617741275504,1617741275504,1617741275508,1617741275512,1617741275520,1617741275520
239,TcpNode0,1617741275520,1617741275520,1617741275525,1617741275526,1617741275528,1617741275528
240,TcpNode0,1617741275537,1617741275537,1617741275541,1617741275542,1617741275543,1617741275544
241,TcpNode2,1617741275547,1617741275547,1617741275550,1617741275554,1617741275556,1617741275556
242,TcpNode0,1617741275557,1617741275557,1617741275561,1617741275562,1617741275566,1617741275566
243,TcpNode2,1617741275567,1617741275567,1617741275569,1617741275571,1617741275573,1617741275573
244,TcpNode0,1617741275584,1617741275584,1617741275587,1617741275591,1617741275593,1617741275593
245,TcpNode2,1617741275594,1617741275594,1617741275598,1617741275601,1617741275604,1617741275604
246,TcpNode0,1617741275604,1617741275604,1617741275609,1617741275610,1617741275612,1617741275612
247,TcpNode0,1617741275622,1617741275622,1617741275625,1617741275627,1617741275629,1617741275629
248,TcpNode2,1617741275632,1617741275632,1617741275635,1617741275641,1617741275642,1617741275643
249,TcpNode0,1617741275643,1617741275643,1617741275648,1617741275649,1617741275651,1617741275651
250,TcpNode0,1617741275661,1617741275661,1617741275665,1617741275666,1617741275668,1617741275668
251,TcpNode2,1617741275671,1617741275671,1617741275675,1617741275679,1617741275681,1617741275681
252,TcpNode0,1617741275681,1617741275681,1617741275684,1617741275686,1617741275688,1617741275688
