T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617112197249;1617112201452;1617112201477;1617112201478;114;33;38;node1:0,node3:33;node2
1617112197246;1617112201469;1617112201493;1617112201494;111;31;30;node1:0,node2:32;node3
1617112197250;1617112201481;1617112201514;1617112201515;116;32;25;node1:0,node3:31;node2
1617112197248;1617112201501;1617112201533;1617112201534;113;31;29;node1:0,node2:31;node3
1617112197256;1617112201515;1617112201541;1617112201543;118;31;37;node1:0,node3:31;node2
1617112197250;1617112201535;1617112201566;1617112201567;115;30;34;node1:0,node2:31;node3
1617112197259;1617112201550;1617112201583;1617112201584;120;31;28;node1:0,node3:30;node2
1617112197252;1617112201566;1617112201591;1617112201593;117;30;33;node1:0,node2:30;node3
1617112197261;1617112201587;1617112201611;1617112201612;122;30;41;node1:0,node3:30;node2
1617112197257;1617112201592;1617112201618;1617112201619;119;30;33;node1:0,node2:30;node3
1617112197263;1617112201612;1617112201645;1617112201646;124;30;28;node1:0,node3:29;node2
1617112197260;1617112201618;1617112201646;1617112201647;121;29;52;node1:0,node2:30;node3
1617112197268;1617112201646;1617112201674;1617112201675;126;29;34;node1:0,node3:28;node2
1617112197262;1617112201647;1617112201684;1617112201685;123;28;29;node1:0,node2:29;node3
1617112197270;1617112201677;1617112201713;1617112201715;128;28;29;node1:0,node3:28;node2
1617112197267;1617112201685;1617112201714;1617112201716;125;28;37;node1:0,node2:28;node3
1617112197271;1617112201718;1617112201747;1617112201748;130;28;40;node1:0,node3:27;node2
1617112197269;1617112201715;1617112201747;1617112201750;127;27;30;node1:0,node2:28;node3
1617112197272;1617112201750;1617112201774;1617112201776;131;27;34;node1:0,node3:27;node2
1617112197270;1617112201747;1617112201781;1617112201783;129;27;34;node1:0,node2:27;node3
1617112197273;1617112201786;1617112201809;1617112201811;132;26;35;node1:0,node2:27;node3
1617112197274;1617112201775;1617112201811;1617112201813;133;27;27;node1:0,node3:26;node2
1617112197279;1617112201812;1617112201835;1617112201836;135;26;37;node1:0,node3:26;node2
1617112197277;1617112201810;1617112201835;1617112201838;134;26;27;node1:0,node2:26;node3
1617112197281;1617112201836;1617112201862;1617112201863;137;25;26;node1:0,node2:26;node3
1617112197280;1617112201840;1617112201870;1617112201872;136;26;23;node1:0,node3:25;node2
1617112197283;1617112201862;1617112201889;1617112201890;139;25;26;node1:0,node2:25;node3
1617112197282;1617112201875;1617112201907;1617112201908;138;25;35;node1:0,node3:25;node2
1617112197285;1617112201890;1617112201917;1617112201918;141;24;27;node1:0,node2:25;node3
1617112197284;1617112201912;1617112201933;1617112201934;140;25;37;node1:0,node3:24;node2
