T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617110367066;1617110375817;1617110375855;1617110375857;198;85;34;node1:0;node3
1617110367070;1617110375856;1617110375883;1617110375885;199;85;39;node1:0;node3
1617110367071;1617110375884;1617110375919;1617110375920;200;85;28;node1:0;node3
1617110367073;1617110375920;1617110375951;1617110375952;201;85;36;node1:0;node3
1617110367075;1617110375952;1617110375986;1617110375988;202;85;31;node1:0;node3
1617110367076;1617110375987;1617110376014;1617110376015;203;85;36;node1:0;node3
1617110367080;1617110376015;1617110376045;1617110376047;204;85;27;node1:0;node3
1617110367081;1617110376047;1617110376077;1617110376079;205;85;32;node1:0;node3
1617110367084;1617110376078;1617110376103;1617110376104;206;85;32;node1:0;node3
1617110367091;1617110376121;1617110376138;1617110376139;207;85;26;node1:0;node3
1617110367093;1617110376138;1617110376170;1617110376171;208;85;35;node1:0;node3
1617110367094;1617110376170;1617110376202;1617110376203;209;85;31;node1:0;node3
1617110367096;1617110376203;1617110376228;1617110376230;210;85;32;node1:0;node3
1617110367098;1617110376229;1617110376240;1617110376241;211;85;32;node1:0;node3
1617110367101;1617110376243;1617110376272;1617110376274;212;85;38;node1:0;node3
1617110367103;1617110376275;1617110376300;1617110376301;213;84;33;node1:0;node3
1617110367106;1617110376301;1617110376313;1617110376314;214;84;33;node1:0;node3
1617110367108;1617110376314;1617110376343;1617110376344;215;84;40;node1:0;node3
1617110367110;1617110376344;1617110376374;1617110376376;216;83;30;node1:0;node3
1617110367112;1617110376375;1617110376403;1617110376404;217;83;32;node1:0;node3
1617110367113;1617110376404;1617110376441;1617110376442;218;83;29;node1:0;node3
1617110367115;1617110376444;1617110376478;1617110376480;219;83;37;node1:0;node3
1617110367117;1617110376479;1617110376507;1617110376508;220;83;37;node1:0;node3
1617110367118;1617110376508;1617110376534;1617110376535;221;83;29;node1:0;node3
1617110367121;1617110376534;1617110376571;1617110376572;222;83;27;node1:0;node3
1617110367122;1617110376572;1617110376605;1617110376606;223;83;37;node1:0;node3
1617110367124;1617110376606;1617110376640;1617110376641;224;83;34;node1:0;node3
1617110367125;1617110376643;1617110376667;1617110376668;225;83;35;node1:0;node3
1617110367126;1617110376668;1617110376678;1617110376679;226;83;35;node1:0;node3
1617110367128;1617110376679;1617110376705;1617110376706;227;83;38;node1:0;node3
1617110367131;1617110376706;1617110376740;1617110376741;228;82;27;node1:0;node3
1617110367132;1617110376744;1617110376776;1617110376777;229;82;35;node1:0;node3
1617110367134;1617110376777;1617110376807;1617110376809;230;82;36;node1:0;node3
1617110367135;1617110376809;1617110376825;1617110376826;231;82;32;node1:0;node3
1617110367136;1617110376826;1617110376842;1617110376843;232;82;32;node1:0;node3
1617110367138;1617110376843;1617110376863;1617110376866;233;82;34;node1:0;node3
1617110367139;1617110376864;1617110376897;1617110376899;234;81;24;node1:0;node3
1617110367142;1617110376898;1617110376916;1617110376917;235;81;31;node1:0;node3
1617110367143;1617110376917;1617110376940;1617110376942;236;81;19;node1:0;node3
1617110367145;1617110376944;1617110376966;1617110376968;237;81;25;node1:0;node3
1617110367147;1617110376967;1617110376988;1617110376989;238;81;26;node1:0;node3
1617110367148;1617110376988;1617110376998;1617110377000;239;81;26;node1:0;node3
1617110367151;1617110376999;1617110377028;1617110377029;240;81;32;node1:0;node3
1617110367152;1617110377030;1617110377049;1617110377051;241;80;29;node1:0;node3
1617110367154;1617110377050;1617110377074;1617110377076;242;80;22;node1:0;node3
1617110367155;1617110377076;1617110377095;1617110377096;243;80;25;node1:0;node3
1617110367156;1617110377095;1617110377119;1617110377121;244;80;20;node1:0;node3
1617110367158;1617110377120;1617110377143;1617110377144;245;80;25;node1:0;node3
1617110367161;1617110377144;1617110377163;1617110377164;246;80;23;node1:0;node3
1617110367162;1617110377164;1617110377184;1617110377186;247;80;20;node1:0;node3
1617110367163;1617110377185;1617110377206;1617110377208;248;80;22;node1:0;node3
1617110367165;1617110377207;1617110377229;1617110377230;249;80;22;node1:0;node3
1617110367166;1617110377234;1617110377250;1617110377252;250;80;22;node1:0;node3
1617110367167;1617110377251;1617110377264;1617110377265;251;80;22;node1:0;node3
1617110367169;1617110377265;1617110377284;1617110377285;252;80;35;node1:0;node3
1617110367172;1617110377285;1617110377295;1617110377300;253;80;35;node1:0;node3
1617110367173;1617110377297;1617110377318;1617110377319;254;79;32;node1:0;node3
1617110367174;1617110377319;1617110377348;1617110377350;255;78;23;node1:0;node3
